Location,Plot,Entry,envi,Genotype,Source,CL,CW,CWT,DTA,DTS,EH,EL,EWT,GWT,KD,KRN,PHt
Minnesota,104076,Inbred012,103,Mo17,"NIL2613-3,5,8",177.46345,20.61023733,16.61,83,85.5,87.8,174.32655,103.4,86.79,5.214662333,11.6,182.6
Minnesota,104062,Inbred014,103,B004,NIL2704-1,136.0593333,26.80927667,17.84,89.5,89.5,86.66666667,131.5212,148.94,131.1,4.0991155,18,172.1666667
Minnesota,104054,Inbred015,103,B040,NIL2740-4,132.9328403,24.32535069,19.47083334,81.5,81,70.58333333,131.572,99.89583335,80.425,4.929787222,17.41666667,163.5
Minnesota,104059,Inbred016,103,B043,NIL2743-1,122.1999292,22.97377083,12.83,82,81.5,81.4,119.0855187,95.255,82.425,4.434932604,14.65,166.9
Minnesota,104071,Inbred017,103,B049,NIL2749-1,115.0027333,28.08453306,19.32166667,85.5,85,97.16666667,115.1323792,114.8266667,95.505,4.166587778,17.83333333,173
Minnesota,104080,Inbred018,103,B055,NIL2755-1,134.6341111,26.34615,19.36666667,83,85,105.5833333,133.0113333,152.7333333,133.3666667,3.834870834,19.33333333,194.125
Minnesota,104081,Inbred019,103,B102,NIL2802-4,119.5616805,26.49008333,16.61666667,83.5,83,86.58333333,119.6975,118.7,102.0833333,3.770806389,19,172.2
Minnesota,104063,Inbred020,103,B107,NIL2807-1,119.4928889,27.17658889,18.85,83,83,94.56666667,121.2047431,119.0833334,100.2333333,3.896580486,17.5,184.95
Minnesota,104068,Inbred021,103,B111,NIL2811-1,146.5985694,27.63308333,24.5,82.5,83.5,96.33333333,145.2196493,178.2,153.7,3.872256458,19.5,179.1666667
Minnesota,104074,Inbred022,103,B122,NIL2822-4,130.1661806,28.75015417,18.35,81,83,93.75,129.9836181,132.3833334,114.0333334,4.145870903,19.16666667,185.8333333
Minnesota,104060,Inbred023,103,B123,NIL2823-1,116.1873611,28.21516667,22.69166667,83,84.5,114.1666667,108.5155028,127.9083333,105.2166667,4.798968403,19.16666667,209.8333333
Minnesota,104077,Inbred024,103,B125,NIL2825-1,148.9004444,25.76142083,22.88333334,82.5,83,101.4166667,147.5466597,148.7416667,125.8583333,4.30324507,16.83333333,206.4333333
Minnesota,104053,Inbred025,103,B131,NIL2831-1,135.6254167,26.92428222,19.64333334,83,82.5,93.5,133.0720111,139.2883334,119.645,3.721611528,17.8,179.8833333
Minnesota,104070,Inbred026,103,B154,NIL2854-1,136.1563472,25.25409111,19.78166667,82,82.5,80,133.2984944,134.8683334,115.0866667,3.714049736,17.26666667,164.425
Minnesota,104061,Inbred027,103,B175,NIL2875-4,127.5961944,27.7987125,21.2,80.5,79.5,75.58333333,125.95225,154.3,133.1,4.237919444,18,153.5
Minnesota,104069,Inbred028,103,B189,NIL2889-4,106.0816889,25.68546778,15.27666667,83,82.5,84.25,105.5078958,97.65166667,82.375,4.504070875,17.46666667,172.7166667
Minnesota,104079,Inbred029_33,103,B73,NIL2655-1-10,121.8191056,26.83377003,19.97979167,83.1,83.2,95.47833333,120.5037736,118.690625,98.71083333,4.21338375,17.38,185.2366667